Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name
ENSMUSP00000000001	ENSMUST00000000001	ENSMUSG00000000001	Gnai3
ENSMUSP00000000003	ENSMUST00000000003	ENSMUSG00000000003	Pbsn
ENSMUSP00000000010	ENSMUST00000000010	ENSMUSG00000020875	Hoxb9
ENSMUSP00000000028	ENSMUST00000000028	ENSMUSG00000000028	Cdc45
ENSMUSP00000000033	ENSMUST00000000033	ENSMUSG00000048583	Igf2
ENSMUSP00000000049	ENSMUST00000000049	ENSMUSG00000000049	Apoh
ENSMUSP00000000058	ENSMUST00000000058	ENSMUSG00000000058	Cav2
ENSMUSP00000000080	ENSMUST00000000080	ENSMUSG00000000078	Klf6
ENSMUSP00000000087	ENSMUST00000000087	ENSMUSG00000000085	Scmh1
ENSMUSP00000000090	ENSMUST00000000090	ENSMUSG00000000088	Cox5a
ENSMUSP00000000094	ENSMUST00000000094	ENSMUSG00000061689	Dlgap4
ENSMUSP00000000095	ENSMUST00000000095	ENSMUSG00000000093	Tbx2
ENSMUSP00000000096	ENSMUST00000000096	ENSMUSG00000000094	Tbx4
ENSMUSP00000000109	ENSMUST00000000109	ENSMUSG00000055022	Cntn1
ENSMUSP00000000122	ENSMUST00000000122	ENSMUSG00000000120	Ngfr
ENSMUSP00000000127	ENSMUST00000000127	ENSMUSG00000000125	Wnt3
ENSMUSP00000000128	ENSMUST00000000128	ENSMUSG00000000126	Wnt9a
ENSMUSP00000000129	ENSMUST00000000129	ENSMUSG00000000127	Fer
ENSMUSP00000000137	ENSMUST00000000137	ENSMUSG00000020152	Actr2
ENSMUSP00000000145	ENSMUST00000000145	ENSMUSG00000020333	Acsl6
ENSMUSP00000000153	ENSMUST00000000153	ENSMUSG00000000149	Gna12
ENSMUSP00000000161	ENSMUST00000000161	ENSMUSG00000000157	Itgb2l
ENSMUSP00000000163	ENSMUST00000000163	ENSMUSG00000000159	Igsf5
ENSMUSP00000000171	ENSMUST00000000171	ENSMUSG00000000167	Pih1d2
ENSMUSP00000000175	ENSMUST00000000175	ENSMUSG00000000171	Sdhd
ENSMUSP00000000186	ENSMUST00000000186	ENSMUSG00000000182	Fgf23
ENSMUSP00000000187	ENSMUST00000000187	ENSMUSG00000000183	Fgf6
ENSMUSP00000000188	ENSMUST00000000188	ENSMUSG00000000184	Ccnd2
ENSMUSP00000000193	ENSMUST00000000193	ENSMUSG00000035385	Ccl2
ENSMUSP00000000194	ENSMUST00000000194	ENSMUSG00000035352	Ccl12
ENSMUSP00000000199	ENSMUST00000000199	ENSMUSG00000062661	Ncs1
ENSMUSP00000000201	ENSMUST00000000201	ENSMUSG00000000197	Nalcn
ENSMUSP00000000206	ENSMUST00000000206	ENSMUSG00000000202	Btbd17
ENSMUSP00000000208	ENSMUST00000000208	ENSMUSG00000000204	Slfn4
ENSMUSP00000000219	ENSMUST00000000219	ENSMUSG00000000214	Th
ENSMUSP00000000220	ENSMUST00000000220	ENSMUSG00000000215	Ins2
ENSMUSP00000000221	ENSMUST00000000221	ENSMUSG00000000216	Scnn1g
ENSMUSP00000000253	ENSMUST00000000253	ENSMUSG00000000247	Lhx2
ENSMUSP00000000254	ENSMUST00000000254	ENSMUSG00000000248	Clec2g
ENSMUSP00000000260	ENSMUST00000000260	ENSMUSG00000000253	Gmpr
ENSMUSP00000000266	ENSMUST00000000266	ENSMUSG00000026535	Ifi202b
ENSMUSP00000000275	ENSMUST00000000275	ENSMUSG00000038257	Glra3
ENSMUSP00000000284	ENSMUST00000000284	ENSMUSG00000000275	Trim25
ENSMUSP00000000285	ENSMUST00000000285	ENSMUSG00000000276	Dgke
