	126	127N	127C	128N	128C	129N	129C	130N	130C	131
126	1.0469982310	0.0000000094	-0.0493078706	-0.0000010436	0.0022388804	0.0001460538	-0.0000717381	-0.0000045097	0.0000017883	0.0000000866
127N	-0.0020950150	1.0565136347	0.0000986711	-0.0571786053	-0.0000059386	0.0026347098	0.0001124278	-0.0000813630	-0.0000028026	0.0000022637
127C	-0.0020944780	-0.0000001999	1.0513405247	0.0000222513	-0.0477373211	-0.0031141545	0.0015295973	0.0000961560	-0.0000381294	-0.0000018472
128N	0.0000188616	-0.0095117532	-0.0000010252	1.0588630989	0.0000270519	-0.0487963317	-0.0020793398	0.0015068886	0.0000518333	-0.0000419236
128C	0.0000104767	0.0000000010	-0.0052588911	-0.0000001113	1.0376705195	0.0000155743	-0.0332499458	-0.0000002245	0.0008288462	-0.0000165548
129N	-0.0000001321	0.0000666063	0.0000000072	-0.0074147121	-0.0000001894	1.0377153088	0.0000145606	-0.0320455393	-0.0000003630	0.0008695316
129C	-0.0000001362	0.0000000000	0.0000683912	0.0000000008	-0.0134947773	-0.0000001091	1.0388218075	-0.0000080088	-0.0258954858	0.0005176266
130N	0.0000000016	-0.0000007996	-0.0000000001	0.0000890139	0.0000000023	-0.0124578160	-0.0000001748	1.0678330363	0.0000000044	-0.0289746037
130C	0.0000000020	-0.0000000002	-0.0000010259	0.0000000267	0.0002024217	-0.0000037357	-0.0155823272	0.0003204700	1.0353884323	-0.0206964568
131	0.0000000000	0.0000000120	0.0000000000	-0.0000013352	0.0000000000	0.0001868672	0.0000000026	-0.0160174955	-0.0000000001	1.0344346191
