	126	127N	127C	128N	128C	129N	129C	130N	130C	131	131C
126	1.04830202701	0.0	-0.0513945454305	0.0	0.00318607138304	0.0	-9.5808074699e-05	0.0	2.30286637342e-06	0.0	-4.91049128999e-08
127N	-0.00209699437376	1.04919528981	0.000102808226859	-0.0491402065977	-6.3733290526e-06	0.00200604173823	1.91651822116e-07	-6.4128452573e-05	-4.60659018504e-09	1.48596153163e-06	9.82281092873e-11
127C	-0.00629222939383	0.0	1.07071969647	0.0	-0.0663764871467	0.0	0.00199600155623	0.0	-4.79763827795e-05	0.0	1.02301901875e-06
128N	8.3046753472e-06	-0.00415510235349	-4.07148897379e-07	1.04553631059	2.52401386122e-08	-0.0426817391112	-7.58994006989e-10	0.00136443516113	1.824336604e-11	-3.16162028007e-05	-3.89010370179e-13
128C	3.7769246306e-05	0.0	-0.00642701869393	0.0	1.03683391748	0.0	-0.0311785423091	0.0	0.000749415087207	0.0	-1.59800685824e-05
129N	2.03175970376e-06	-0.00101655623777	-9.96100014199e-08	-0.00828657956944	6.17506337161e-09	1.04082231571	-1.85689792114e-10	-0.0332726499346	4.46328537015e-12	0.000770981925722	-9.51723651355e-14
129C	-5.28998100307e-07	0.0	9.00171703767e-05	0.0	-0.014521951755	0.0	1.03888554332	0.0	-0.0249709076304	0.0	0.000532464348942
130N	-3.87978315669e-08	1.94118318314e-05	1.90212063479e-09	-0.000921635763697	-1.17917029343e-10	-0.0155763819936	3.54587270571e-12	1.07296124457	-8.52294657215e-14	-0.0248622736149	1.81738095578e-15
130C	9.52716763906e-09	0.0	-1.62119423883e-06	0.0	0.000261537931301	0.0	-0.0187101555248	0.0	1.0400173258	0.0	-0.0221766928326
131	6.98360968204e-10	-3.49412972965e-07	-3.42381714262e-11	1.65894437465e-05	2.12250652817e-12	0.000280374875885	-6.38257087028e-14	-0.0193133024023	1.53413038299e-15	1.03544752093	-3.27128572041e-17
131C	-2.47706358616e-10	0.0	4.21510502097e-08	0.0	-6.79998621382e-06	0.0	0.000486464043644	0.0	-0.0270404504707	0.0	1.05557659401
