	126	127N	127C	128N	128C	129N	129C	130N	130C	131N	131C	132N	132C	133N	133C	134N
126	1.0812320915395564	-0.003146367184006758	-0.08346579802503687	0.0002874712371023355	0.005257400535697052	-1.8647926574764495e-05	-0.0001475514394275744	-2.392099229295864e-08	1.3489231782941637e-06	1.5609223276951662e-08	6.529049815752021e-08	-7.928498120307704e-10	-3.807768873220716e-09	2.968786868058943e-11	5.554812410027542e-11	2.0090304802069725e-13
127N	-0.0073629036561462585	1.0842280506013693	0.0014765062629753833	-0.0811868064650548	-0.00012897713491068642	0.0030062512155059205	4.950479813073945e-06	-3.5682710125029677e-05	-8.082703239575698e-08	-1.3912150472921721e-06	-1.3614821279712623e-09	7.513632728141869e-08	1.6957505409424994e-10	-1.5236329031927337e-09	-2.6940287884148715e-12	1.6591045765142002e-11
127C	-0.007640966040950221	4.827877977255978e-05	1.079781258056997	-0.0034900836208015674	-0.0710675123659717	0.0003240336947262788	0.00207230040270062	-4.524880132980996e-06	-2.1996487861351985e-05	-4.9733159826452244e-08	-7.996401245264896e-07	7.854239178688744e-09	5.4793857656938e-08	-3.9756577607474026e-10	-8.132278344327142e-10	-2.9644075702121244e-12
128N	0.00014071522752674142	-0.008131951473646221	-0.012161506407937697	1.0886762986978917	0.0016033486162305417	-0.07224527203732427	-9.234853073290244e-05	0.0022375987464709154	3.0558354740516065e-06	-2.970396926118974e-05	-4.0945382238350965e-08	-4.4893878515832955e-07	-3.608391874150463e-09	2.389711003542483e-08	6.418663456528334e-11	-3.3273838153517453e-10
128C	-0.0005481228789293729	1.2630958968393145e-06	-0.014285407500250296	8.502633957373561e-05	1.0735069734570806	-0.0030406915685416962	-0.05742394721134031	0.0001347924392763303	0.0015955843849431014	-8.13423878628026e-06	-1.5755359804562562e-05	2.618615065167368e-07	-1.9434836951937985e-06	3.104905555281637e-09	3.322437662703064e-08	2.121786397491959e-10
129N	1.2762592627140694e-05	-5.3293565062107805e-06	-0.0007683901695365378	-0.013818282827364973	-0.011992270683114514	1.0833513110814448	0.0013373047125945833	-0.059655451681342286	-7.105044162767871e-05	0.0016395568233902927	1.805469207036867e-06	-1.892731933176614e-05	5.704718547967067e-08	-1.1786062861681217e-07	-1.1236460881986993e-09	3.740850616661581e-09
129C	3.272538571679571e-05	-2.575394775107579e-07	-0.002477034362568325	1.9689867400813184e-05	-0.024942693246331655	0.00015139175072227112	1.081483939210707	-0.003495612705399683	-0.05227715587862589	0.0003245037258060731	0.001151332412096295	-1.365906601921752e-05	4.618602516208792e-05	7.945347199736585e-08	-8.666958266122596e-07	-6.4953543959869945e-09
130N	-1.124231960831542e-06	3.1882502177447735e-05	9.751201837883293e-05	-0.003925149939683969	0.0003537853628164499	-0.02529304792174417	-0.012689885466419573	1.088586645091284	0.0012077471863067555	-0.049777171725863774	-4.402079334243684e-05	0.001069211693268626	-5.106861261079227e-07	-1.001242897914992e-05	1.2481399539107934e-08	5.195794397884494e-08
130C	-5.994910487296693e-07	8.916954691987442e-09	7.330529542416257e-05	-9.198651640788303e-07	0.00012852774752615802	-2.961471582134855e-06	-0.028851573984295945	0.00018470801479255323	1.0732581159951493	-0.003392342505031434	-0.04124178766317468	0.0002749857122580239	-0.0004634398080349731	-4.5327998124604655e-06	1.1644259653933095e-05	1.0172573697718552e-07
131N	2.1499791732259146e-08	-8.611170312327214e-07	-2.4010887171321433e-06	0.00011326012093232367	2.3554429566362296e-06	0.00014304069953853513	0.00036772032799332443	-0.029463075658296964	-0.013022065000344902	1.0887066607195823	0.0007846582696433865	-0.03966263836577091	-7.302830942771769e-06	0.0006661992389416179	6.753786488426085e-08	-6.586228717042677e-06
131C	-7.358787529903613e-09	-7.068158746463032e-11	-4.7402497286703673e-07	1.3634656013615923e-08	1.7731402455710403e-05	-9.826131554667281e-08	9.057439870516767e-05	-2.7720044286510895e-06	-0.03957330634159549	0.00022596775692035096	1.0720678351534474	-0.0039504544581027475	-0.029461921575929466	0.00021657753810470337	0.0003735063812081123	1.712610389694136e-06
132N	5.855627579917335e-10	-7.1080657929705225e-09	-3.155763029800978e-08	6.932069897533271e-07	-5.167867151800579e-07	1.9194327122965227e-05	4.451657005155631e-06	-0.0002411413803590096	0.0004995196800078404	-0.027279187596021357	-0.007639967308752868	1.0628272490638861	0.0004330078024088451	-0.029187311649970404	-7.72559421210563e-06	0.00035574525029406475
