Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name	Description
ENSRNOP00000000008	ENSRNOT00000000008	ENSRNOG00000000007	Gad1	glutamate decarboxylase 1 [Source:RGD Symbol;Acc:2652]
ENSRNOP00000000009	ENSRNOT00000000009	ENSRNOG00000000008	Alx4	ALX homeobox 4 [Source:RGD Symbol;Acc:1310201]
ENSRNOP00000000010	ENSRNOT00000000010	ENSRNOG00000000009	Tmco5b	transmembrane and coiled-coil domains 5B [Source:RGD Symbol;Acc:1561237]
ENSRNOP00000000011	ENSRNOT00000000011	ENSRNOG00000000010	Cbln1	cerebellin 1 precursor [Source:RGD Symbol;Acc:1562813]
ENSRNOP00000000013	ENSRNOT00000000013	ENSRNOG00000000012	Tcf15	transcription factor 15 [Source:RGD Symbol;Acc:1308464]
ENSRNOP00000000018	ENSRNOT00000000018	ENSRNOG00000000017	Steap1	six transmembrane epithelial antigen of the prostate 1 [Source:RGD Symbol;Acc:1311543]
ENSRNOP00000000025	ENSRNOT00000000025	ENSRNOG00000000024	Hebp1	heme binding protein 1 [Source:RGD Symbol;Acc:1304581]
ENSRNOP00000000026	ENSRNOT00000000026	ENSRNOG00000010388	Slc21a4	kidney specific organic anion transporter [Source:RGD Symbol;Acc:621387]
ENSRNOP00000000036	ENSRNOT00000000036	ENSRNOG00000000033	Tmcc2	transmembrane and coiled-coil domain family 2 [Source:RGD Symbol;Acc:1311960]
ENSRNOP00000000037	ENSRNOT00000000037	ENSRNOG00000024207	Fgfrl1	fibroblast growth factor receptor-like 1 [Source:RGD Symbol;Acc:735156]
ENSRNOP00000000039	ENSRNOT00000000039	ENSRNOG00000000034	Nuak2	"NUAK family, SNF1-like kinase, 2 [Source:RGD Symbol;Acc:1359167]"
ENSRNOP00000000040	ENSRNOT00000000040	ENSRNOG00000000035	Tmed11	transmembrane emp24 protein transport domain containing 11 [Source:RGD Symbol;Acc:1588776]
ENSRNOP00000000041	ENSRNOT00000000041	ENSRNOG00000000036	Klhdc8a	kelch domain containing 8A [Source:RGD Symbol;Acc:1305132]
ENSRNOP00000000047	ENSRNOT00000000047	ENSRNOG00000000041	Slc26a1	"solute carrier family 26 (anion exchanger), member 1 [Source:RGD Symbol;Acc:620136]"
ENSRNOP00000000048	ENSRNOT00000000048	ENSRNOG00000000043	Idua	"iduronidase, alpha-L- [Source:RGD Symbol;Acc:1310943]"
ENSRNOP00000000049	ENSRNOT00000000049	ENSRNOG00000000042	Xpr1	xenotropic and polytropic retrovirus receptor 1 [Source:RGD Symbol;Acc:1306554]
