Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name
ENSRNOP00000000006	ENSRNOT00000000006	ENSRNOG00000043045	Sp5
ENSRNOP00000000008	ENSRNOT00000000008	ENSRNOG00000000007	Gad1
ENSRNOP00000000009	ENSRNOT00000000009	ENSRNOG00000000008	Alx4
ENSRNOP00000000010	ENSRNOT00000000010	ENSRNOG00000000009	Tmco5b
ENSRNOP00000000011	ENSRNOT00000000011	ENSRNOG00000000010	Cbln1
ENSRNOP00000000013	ENSRNOT00000000013	ENSRNOG00000000012	Tcf15
ENSRNOP00000000015	ENSRNOT00000000015	ENSRNOG00000000014	
ENSRNOP00000000018	ENSRNOT00000000018	ENSRNOG00000000017	Steap1
ENSRNOP00000000025	ENSRNOT00000000025	ENSRNOG00000000024	HEBP1
ENSRNOP00000000026	ENSRNOT00000000026	ENSRNOG00000010388	Slc21a4
ENSRNOP00000000029	ENSRNOT00000000029	ENSRNOG00000000028	Nde1
ENSRNOP00000000036	ENSRNOT00000000036	ENSRNOG00000000033	Tmcc2
ENSRNOP00000000037	ENSRNOT00000000037	ENSRNOG00000024207	Fgfrl1
ENSRNOP00000000039	ENSRNOT00000000039	ENSRNOG00000000034	Nuak2
ENSRNOP00000000040	ENSRNOT00000000040	ENSRNOG00000000035	Tmed11
ENSRNOP00000000041	ENSRNOT00000000041	ENSRNOG00000000036	Klhdc8a
ENSRNOP00000000047	ENSRNOT00000000047	ENSRNOG00000000041	Slc26a1
ENSRNOP00000000048	ENSRNOT00000000048	ENSRNOG00000000043	Idua
ENSRNOP00000000049	ENSRNOT00000000049	ENSRNOG00000000042	Xpr1
ENSRNOP00000000050	ENSRNOT00000000050	ENSRNOG00000000044	Tmem175
ENSRNOP00000000052	ENSRNOT00000000052	ENSRNOG00000000047	Cd82
ENSRNOP00000000053	ENSRNOT00000000053	ENSRNOG00000004698	Cd244
ENSRNOP00000000058	ENSRNOT00000000058	ENSRNOG00000000053	Crp
ENSRNOP00000000059	ENSRNOT00000000059	ENSRNOG00000000055	Fcrl6
ENSRNOP00000000060	ENSRNOT00000000060	ENSRNOG00000000054	Abhd8
ENSRNOP00000000064	ENSRNOT00000000064	ENSRNOG00000000048	Gak
ENSRNOP00000000071	ENSRNOT00000000071	ENSRNOG00000000062	Pcgf3
ENSRNOP00000000072	ENSRNOT00000000072	ENSRNOG00000000064	Atp5i
ENSRNOP00000000074	ENSRNOT00000000074	ENSRNOG00000000066	Fbxo28
ENSRNOP00000000077	ENSRNOT00000000077	ENSRNOG00000000065	Pde6b
ENSRNOP00000000078	ENSRNOT00000000078	ENSRNOG00000000068	Ppp2r5a
ENSRNOP00000000079	ENSRNOT00000000079	ENSRNOG00000010580	Acot7
ENSRNOP00000000080	ENSRNOT00000000080	ENSRNOG00000000070	Dr1
ENSRNOP00000000083	ENSRNOT00000000083	ENSRNOG00000000073	Tmed5
ENSRNOP00000000084	ENSRNOT00000000084	ENSRNOG00000010270	Espn
ENSRNOP00000000086	ENSRNOT00000000086	ENSRNOG00000000075	Mtf2
ENSRNOP00000000092	ENSRNOT00000000092	ENSRNOG00000000081	Antxr2
ENSRNOP00000000101	ENSRNOT00000000101	ENSRNOG00000028382	Rfxap
ENSRNOP00000000102	ENSRNOT00000000102	ENSRNOG00000000091	Smad9
ENSRNOP00000000106	ENSRNOT00000000106	ENSRNOG00000000095	Gpr89b
ENSRNOP00000000107	ENSRNOT00000000107	ENSRNOG00000000096	Pdzk1
ENSRNOP00000000109	ENSRNOT00000000109	ENSRNOG00000000097	Cd160
ENSRNOP00000000110	ENSRNOT00000000110	ENSRNOG00000000098	Rnf115
ENSRNOP00000000116	ENSRNOT00000000116	ENSRNOG00000000104	Thoc3
ENSRNOP00000000117	ENSRNOT00000000117	ENSRNOG00000000105	Cplx2
ENSRNOP00000000118	ENSRNOT00000019158	ENSRNOG00000027040	Ggact
ENSRNOP00000000120	ENSRNOT00000000120	ENSRNOG00000000108	Aga
ENSRNOP00000000121	ENSRNOT00000000121	ENSRNOG00000000109	Fgf20
ENSRNOP00000000123	ENSRNOT00000000123	ENSRNOG00000000111	Coprs
ENSRNOP00000000124	ENSRNOT00000000124	ENSRNOG00000000112	Champ1
ENSRNOP00000000125	ENSRNOT00000000125	ENSRNOG00000000113	Elac1
ENSRNOP00000000129	ENSRNOT00000000129	ENSRNOG00000038784	Piezo2
ENSRNOP00000000133	ENSRNOT00000000133	ENSRNOG00000000121	Pigv
ENSRNOP00000000134	ENSRNOT00000000134	ENSRNOG00000000122	RGD1562178
ENSRNOP00000000136	ENSRNOT00000000136	ENSRNOG00000000124	
ENSRNOP00000000139	ENSRNOT00000000139	ENSRNOG00000000127	Kpna6
ENSRNOP00000000141	ENSRNOT00000000141	ENSRNOG00000000129	RGD1559864
ENSRNOP00000000142	ENSRNOT00000000142	ENSRNOG00000000130	Dnajb5
ENSRNOP00000000146	ENSRNOT00000000146	ENSRNOG00000000133	Txndc15
ENSRNOP00000000149	ENSRNOT00000000149	ENSRNOG00000000137	Ly86
ENSRNOP00000000155	ENSRNOT00000000155	ENSRNOG00000000142	Plxdc2
ENSRNOP00000000157	ENSRNOT00000000157	ENSRNOG00000000145	Pik3r3
ENSRNOP00000000158	ENSRNOT00000000158	ENSRNOG00000049452	NEBL
ENSRNOP00000000161	ENSRNOT00000000161	ENSRNOG00000000147	Mast2
ENSRNOP00000000162	ENSRNOT00000000162	ENSRNOG00000000150	Dnajc1
ENSRNOP00000000163	ENSRNOT00000000163	ENSRNOG00000000151	Ldlrap1
ENSRNOP00000000167	ENSRNOT00000000167	ENSRNOG00000027731	Ubxn10
ENSRNOP00000000168	ENSRNOT00000000168	ENSRNOG00000000155	Cog3
ENSRNOP00000000169	ENSRNOT00000000169	ENSRNOG00000000156	Megf6
ENSRNOP00000000170	ENSRNOT00000000170	ENSRNOG00000000157	Atg12
ENSRNOP00000000172	ENSRNOT00000000172	ENSRNOG00000000158	Cdo1
ENSRNOP00000000173	ENSRNOT00000000173	ENSRNOG00000024138	Dusp21
ENSRNOP00000000174	ENSRNOT00000000174	ENSRNOG00000000161	Chm
ENSRNOP00000000177	ENSRNOT00000000177	ENSRNOG00000000164	Lamp2
ENSRNOP00000000178	ENSRNOT00000000178	ENSRNOG00000000165	Pfkfb1
ENSRNOP00000000180	ENSRNOT00000000180	ENSRNOG00000000167	Alas2
ENSRNOP00000000181	ENSRNOT00000000181	ENSRNOG00000000168	Gatm
ENSRNOP00000000184	ENSRNOT00000000184	ENSRNOG00000000170	Slc30a4
ENSRNOP00000000193	ENSRNOT00000000193	ENSRNOG00000000177	Ppap2c
ENSRNOP00000000200	ENSRNOT00000000200	ENSRNOG00000000184	Tmprss6
ENSRNOP00000000201	ENSRNOT00000000201	ENSRNOG00000000185	MPST
