Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name	Description
Q0010	Q0010	Q0010		"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0017 [Source:SGD;Acc:S000007257]"
Q0017	Q0017	Q0017		"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0010 [Source:SGD;Acc:S000007258]"
Q0032	Q0032	Q0032		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007259]"
Q0045	Q0045	Q0045	COX1	Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits [Source:SGD;Acc:S000007260]
Q0050	Q0050	Q0050	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007261]
Q0055	Q0055	Q0055	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007262]
Q0060	Q0060	Q0060	AI3	Endonuclease I-SceIII; encoded by a mobile group I intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007263]
Q0065	Q0065	Q0065	AI4	Endonuclease I-SceII; encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity [Source:SGD;Acc:S000007264]
Q0070	Q0070	Q0070	AI5_ALPHA	Endonuclease I-SceIV; involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007265]
Q0075	Q0075	Q0075	AI5_BETA	Protein of unknown function; encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG [Source:SGD;Acc:S000007266]
Q0080	Q0080	Q0080	ATP8	Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase [Source:SGD;Acc:S000007267]
Q0085	Q0085	Q0085	ATP6	Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase [Source:SGD;Acc:S000007268]
Q0092	Q0092	Q0092		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007269]"
Q0105	Q0105	Q0105	COB	"Cytochrome b; mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p [Source:SGD;Acc:S000007270]"
Q0110	Q0110	Q0110	BI2	Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007271]
Q0115	Q0115	Q0115	BI3	Mitochondrial mRNA maturase; forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007272]
Q0120	Q0120	Q0120	BI4	Mitochondrial mRNA maturase; forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007273]
Q0130	Q0130	Q0130	OLI1	F0-ATP synthase subunit c (ATPase-associated proteolipid); encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2 [Source:SGD;Acc:S000007274]
